x,y,z,yaw,velocity,change_flag
6771.9858,-8279.2188,-61.8538,2.0083,18.1935,0
6771.4248,-8278.0010,-61.8366,2.0076,15.9821,0
6770.8379,-8276.7490,-61.8511,2.0061,16.1629,0
6770.2607,-8275.5098,-61.8532,2.0062,16.2361,0
6769.6763,-8274.2734,-61.8486,2.0066,15.9460,0
6769.0898,-8273.0088,-61.8567,2.0059,16.7060,0
6768.5215,-8271.7979,-61.8455,2.0061,15.7888,0
6767.9717,-8270.5566,-61.8524,2.0069,16.0327,0
6767.3906,-8269.3184,-61.8653,2.0076,15.9608,0
6766.8325,-8268.1133,-61.8614,2.0085,15.5233,0
6766.2646,-8266.8906,-61.8710,2.0099,15.8070,0
6765.7100,-8265.7002,-61.8851,2.0102,15.6864,0
6765.1553,-8264.4893,-61.8915,2.0121,16.0193,0
6764.6040,-8263.2998,-61.8971,2.0133,16.1093,0
6764.0542,-8262.1074,-61.9057,2.0149,15.6846,0
6763.4907,-8260.9346,-61.8770,2.0154,15.2661,0
6762.9209,-8259.7168,-61.8735,2.0165,16.4628,0
6762.3667,-8258.5430,-61.8966,2.0160,15.5784,0
6761.7891,-8257.3262,-61.8680,2.0170,15.1901,0
6761.2261,-8256.1328,-61.8742,2.0190,16.0394,0
6760.6475,-8254.8994,-61.8638,2.0193,16.7514,0
6760.0781,-8253.7119,-61.8769,2.0189,15.6302,0
6759.5205,-8252.5322,-61.8630,2.0184,15.0452,0
6758.9541,-8251.3467,-61.8790,2.0174,15.5672,0
6758.4126,-8250.1914,-61.8507,2.0175,14.7356,0
6757.8730,-8249.0449,-61.8763,2.0174,14.7663,0
6757.3359,-8247.8965,-61.8566,2.0162,14.5463,0
6756.7993,-8246.7891,-61.8509,2.0152,14.5722,0
6756.2910,-8245.6738,-61.9087,2.0161,14.5013,0
6755.7666,-8244.5664,-61.9064,2.0179,14.8142,0
6755.2578,-8243.5137,-61.8629,2.0198,14.2528,0
6754.7222,-8242.3945,-61.8817,2.0225,14.9174,0
6754.1968,-8241.2842,-61.8766,2.0248,15.1037,0
6753.6367,-8240.1562,-61.8890,2.0269,14.8255,0
6753.1313,-8239.0859,-61.8878,2.0286,14.6058,0
6752.5747,-8237.9727,-61.8961,2.0290,14.8774,0
6752.0396,-8236.8750,-61.8976,2.0288,14.6424,0
6751.5151,-8235.7969,-61.9025,2.0289,13.9878,0
6750.9766,-8234.7021,-61.8794,2.0272,15.1338,0
6750.4478,-8233.5977,-61.8699,2.0245,14.4683,0
6749.9258,-8232.5029,-61.8730,2.0215,14.3620,0
6749.3799,-8231.3789,-61.8868,2.0177,14.8842,0
6748.8594,-8230.2832,-61.8826,2.0151,14.6361,0
6748.3384,-8229.1543,-61.8706,2.0124,14.8368,0
6747.7979,-8228.0156,-61.8649,2.0103,14.8615,0
6747.2598,-8226.8623,-61.8703,2.0090,14.8271,0
6746.7261,-8225.7002,-61.8742,2.0075,15.4915,0
6746.1812,-8224.5137,-61.8728,2.0070,15.5677,0
6745.6396,-8223.3379,-61.8908,2.0061,15.6645,0
6745.0874,-8222.1436,-61.9007,2.0056,15.6507,0
6744.5356,-8220.9385,-61.8959,2.0047,15.9083,0
6743.9849,-8219.7314,-61.9188,2.0031,15.9445,0
6743.4385,-8218.5527,-61.9237,2.0006,15.3586,0
6742.9023,-8217.3701,-61.9258,1.9977,15.3679,0
6742.3789,-8216.1904,-61.9268,1.9927,15.5098,0
6741.8535,-8215.0078,-61.9335,1.9839,15.7284,0
6741.3589,-8213.8398,-61.9330,1.9711,15.7350,0
6740.8887,-8212.6807,-61.9477,1.9532,14.8256,0
6740.4458,-8211.5303,-61.9468,1.9297,14.8347,0
6740.0410,-8210.3770,-61.9410,1.8981,14.3660,0
6739.6963,-8209.2500,-61.9564,1.8582,13.7760,0
6739.4023,-8208.1182,-61.9442,1.8118,13.8893,0
6739.1621,-8207.0059,-61.9499,1.7587,13.1715,0
6739.0010,-8205.9141,-61.9415,1.6854,12.9002,0
6738.9321,-8204.8242,-61.9334,1.5930,12.7848,0
6738.9302,-8203.7500,-61.9350,1.4942,12.4199,0
6739.0269,-8202.7441,-61.9628,1.3855,11.3257,0
6739.2217,-8201.7061,-61.9727,1.2751,13.2423,0
6739.5435,-8200.7168,-61.9582,1.1669,11.9471,0
6740.1196,-8199.5371,-61.9340,1.0301,11.9958,0
6740.8003,-8198.5098,-61.9533,0.9012,10.1061,0
6741.5605,-8197.6240,-61.9429,0.7892,9.0085,0
6742.3804,-8196.8799,-61.9407,0.6950,9.2847,0
6743.2852,-8196.1973,-61.9370,0.6089,7.0646,0
6744.2129,-8195.5908,-61.9319,0.5320,4.3506,0
6745.1182,-8195.1143,-61.9449,0.4828,2.3687,0
6746.0518,-8194.6582,-61.9296,0.4545,1.6819,0
6746.9629,-8194.2256,-61.9266,0.4413,1.7103,0
